CAN_ID,count,period_mean,period_std,period_p01,period_min,scalar_lo,scalar_hi,scalar_delta_mean,scalar_delta_q99,byte0_cls,byte0_lo,byte0_hi,byte0_maxstep,byte1_cls,byte1_lo,byte1_hi,byte1_maxstep,byte2_cls,byte2_lo,byte2_hi,byte2_maxstep,byte3_cls,byte3_lo,byte3_hi,byte3_maxstep,byte4_cls,byte4_lo,byte4_hi,byte4_maxstep,byte5_cls,byte5_lo,byte5_hi,byte5_maxstep,byte6_cls,byte6_lo,byte6_hi,byte6_maxstep,byte7_cls,byte7_lo,byte7_hi,byte7_maxstep
0x0350,35463,0.009996891021728516,0.000353671559461175,0.008102050065994263,0.007192134857177734,3.7155180715284896e+17,3.718157028284172e+17,17592186044432.0,263882790666416.0,static,5.0,5.0,0,static,40.0,40.0,0,dynamic,4.0,244.0,240,drift,102.0,105.0,1,drift,105.0,109.0,1,static,0.0,0.0,0,static,0.0,0.0,0,dynamic,3.0,250.0,179
0x02c0,35482,0.009990930557250977,0.0003030980033678182,0.008125524520874023,0.007573127746582031,1.4411518807585587e+18,1.4411518807585587e+18,0.0,0.0,static,20.0,20.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0
0x0430,17727,0.019998788833618164,0.00019932399548290992,0.018534350395202636,0.01793193817138672,0.0,0.0,0.0,0.0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0
0x04b1,17727,0.01999807357788086,0.0002504662450880562,0.01810460686683655,0.017576932907104492,0.0,1.826004841463376e+19,2.8936069557990195e+17,1.7868305269922988e+19,dynamic,0.0,253.0,254,dynamic,0.0,253.0,254,dynamic,0.0,253.0,254,dynamic,0.0,253.0,254,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,dynamic,0.0,254.0,255
0x01f1,17727,0.019998788833618164,0.0002424081421771012,0.018288612365722656,0.017576932907104492,0.0,6.719386125578327e+16,1030792151040.0,4785126143673344.0,static,0.0,0.0,0,dynamic,0.0,238.0,238,dynamic,0.0,251.0,255,dynamic,0.0,241.0,241,drift,0.0,24.0,1,dynamic,0.0,251.0,255,dynamic,0.0,241.0,241,drift,0.0,24.0,1
0x0153,35453,0.00999903678894043,0.0007872585949160558,0.0071670074462890625,0.007030010223388672,1095233372160.0,1095233372160.0,0.0,0.0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,255.0,255.0,0,static,0.0,0.0,0,static,255.0,255.0,0,static,0.0,0.0,0,static,0.0,0.0,0
0x0002,35453,0.009979486465454102,0.001225420495864996,0.006696429967880249,0.006539106369018555,10.0,658761.0,269.0,654933.0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,dynamic,0.0,10.0,10,dynamic,0.0,15.0,15,dynamic,1.0,255.0,241
0x018f,35480,0.009999990463256836,0.0004585364545648135,0.00797150421142578,0.007269144058227539,1.83147323096373e+19,1.8317828534381183e+19,0.0,65536.0,static,254.0,254.0,0,drift,43.0,54.0,2,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,dynamic,60.0,152.0,19,static,0.0,0.0,0,static,0.0,0.0,0
0x0130,35453,0.009994983673095703,0.0012499927680233466,0.006920529365539551,0.006016969680786133,3.6029893959684824e+16,1.8410434898683822e+19,5.0440315875203514e+17,1.8158232222748901e+19,dynamic,0.0,255.0,255,drift,108.0,143.0,1,static,0.0,0.0,0,static,255.0,255.0,0,dynamic,1.0,254.0,255,drift,120.0,132.0,3,dynamic,0.0,15.0,15,dynamic,1.0,254.0,255
0x0131,35453,0.00999903678894043,0.0012470761516461537,0.006922436714172363,0.006042957305908203,3.6028797261973464e+16,1.8122203429613537e+19,1.008806316530991e+18,1.8086174627972776e+19,dynamic,0.0,251.0,251,drift,127.0,128.0,1,static,0.0,0.0,0,static,0.0,0.0,0,dynamic,1.0,255.0,255,drift,119.0,134.0,4,dynamic,0.0,15.0,15,dynamic,1.0,254.0,253
0x0140,35453,0.009999990463256836,0.0012469341681693369,0.006920211553573609,0.00603795051574707,34744044.0,603990900.0,33554694.0,567869142.0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,dynamic,2.0,36.0,34,dynamic,0.0,51.0,49,dynamic,32.0,47.0,15,dynamic,0.0,255.0,237
0x0260,35480,0.009999990463256836,0.000500111544220731,0.007773378372192383,0.007091045379638672,4.451903904576719e+17,6.845266343240963e+18,1099511627503.0,2.8823037615171174e+17,dynamic,6.0,94.6050000000032,69,dynamic,0.0,155.0,29,dynamic,0.0,174.0,51,static,48.0,48.0,0,static,255.0,255.0,0,dynamic,143.0,186.0,9,dynamic,73.0,213.6050000000032,95,dynamic,0.0,127.0,122
